,date_new,PM2.5_avg_conc,PRCP,TAVG
742,09-01-2010,88.5,0,22
743,10-01-2010,57.25,0,15
744,11-01-2010,20,0,14
745,12-01-2010,20.75,0,19
746,13-01-2010,40.20833333,0,22
747,14-01-2010,93.70833333,0,20
748,15-01-2010,45.45833333,0,22
749,16-01-2010,177.625,0,26
750,17-01-2010,209.2083333,0,34
751,18-01-2010,260.2083333,0,32
752,19-01-2010,340.75,0,23
753,20-01-2010,85.33333333,0,27
754,21-01-2010,27.04166667,0,30
755,22-01-2010,29.41666667,0,28
756,23-01-2010,23.17647059,0,27
757,24-01-2010,NA,0,25
758,25-01-2010,NA,0,35
759,26-01-2010,195.5833333,0,33
760,27-01-2010,122.3333333,0,34
761,28-01-2010,21.16666667,0,36
762,29-01-2010,23.875,0,35
763,30-01-2010,44.29166667,0,27
764,31-01-2010,39.25,0,26
765,01-02-2010,64.79166667,0,24
766,02-02-2010,65.625,0,26
767,03-02-2010,77.54166667,0,26
768,04-02-2010,58.5,0.01,24
769,05-02-2010,78.45833333,0.07,26
770,06-02-2010,76.125,0,31
771,07-02-2010,109.1666667,0,34
772,08-02-2010,178.0833333,0,30
773,09-02-2010,157.25,0,27
774,10-02-2010,12.41666667,0,25
775,11-02-2010,14.33333333,0,25
776,12-02-2010,23.08333333,0,25
